CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
,FRESCOR 2023,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,495,340,0.69
,FRESCOR 2023,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,1270,340,0.27
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,04/04/2023,17,31.20,1.84
,FRESCOR 2023,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/04/2023,930,575.67,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/04/2023,567,340,0.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/04/2023,38,60.80,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,26/04/2023,375,460,1.23
,FRESCOR 2023,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,26/04/2023,344,340,0.99
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,26/04/2023,260,460,1.77
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/04/2023,800,495.20,0.62
,NOTAS MIX,COLEÇÃO 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,800,340,0.43
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,15,24,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,66,150.60,2.28
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,05/05/2023,179,460,2.57
,COLEÇÃO 2023,COLEÇÃO 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,206,340,1.65
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,15,24,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,05/05/2023,750,464.25,0.62
,PERSONALIZADO,2023,PERSONALIZADO,VERNIZ,VERNIZ LOCALIZADO,10/05/2023,640,205,0.32
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,10/05/2023,1,185,185
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,10/05/2023,30,108,3.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,10/05/2023,30,108,3.60
,KRAFT,COLEÇÃO 2023,LISTRAS,HOT,HOT STAMPING,10/05/2023,750,870,1.16
