CODIGO,COD_REDUZIDO,PRODUTO,FAMILIA,STATUS,TOTAL
7899866827455,7455,Planner Permanente Wire-o Ateliê Financeiro A5 Rosa,ATELIE,Lançamento,1000
7899866827462,7462,Planner Permanente Wire-o Ateliê Semanal Notas A5 Off White,ATELIE,Lançamento,2190
7899866823952,3952,Planner Permanente Wire-o Kraft Semanal Notas A5 Linha e Ponto,KRAFT,Lançamento,1185
7899866827479,7479,Planner Permanente Wire-o Kraft Semanal Notas A5 Flores Max,KRAFT,Lançamento,1015
7899866824119,4119,Planner Permanente Wire-o Melissa Financeiro A5 Favo de Abelhas,MELISSA,Ativo,1515
7899866820548,0548,Planner Permanente Wire-o Melissa Semanal Notas A5 Colmeia,MELISSA,Ativo,3390
7899866823976,3976,Planner Permanente Wire-o Melissa Semanal Notas A5 Favo de Abelhas,MELISSA,Ativo,3825
7899866813533,3533,Planner Permanente Wire-o Minerais Semanal A5 Mármore Branco,MINERAIS,Ultimas Unidades,1320
7899866827486,7486,Planner Permanente Wire-o Kraft Financeiro A5 Linha e Ponto,KRAFT,Lançamento,660
7899866827493,7493,Planner Permanente Wire-o Clássica Semanal Notas A5 Vermelho Quente,CLASSICA,Ativo,1945
7899866827509,7509,Planner Permanente Wire-o Bossa Nova Financeiro A5 Pontos Azul,BOSSA NOVA,Lançamento,650
7899866810501,0501,Planner Permanente Wire-o Pastel Semanal Notas A5 Azul Pastel,CLASSICA,Ativo,2195
7899866810495,0495,Planner Permanente Wire-o Pastel Semanal Notas A5 Rosa Pastel,CLASSICA,Ativo,3300
7899866827516,7516,Planner Permanente Wire-o Pólen Financeiro A5 Aromas Azul,POLEN,Lançamento,705
7899866827523,7523,Planner Permanente Wire-o Pólen Semanal Notas A5 Aromas Azul,POLEN,Lançamento,2090
7899866818514,8514,Refil Caderno Criativo Argolado 30FLS Kraft 75g Pautado 17x24,REFIL,Ativo,770
7899866809024,9024,Refil Caderno Criativo Argolado 40FLS Offset 90g Pautado 17x24,REFIL,Ativo,6440
7899866809031,9031,Refil Caderno Criativo Argolado 40FLS Offset 90g Pontado 17x24,REFIL,Ativo,1555
7899866809048,9048,Refil Caderno Criativo Argolado 40FLS Offset 90g Quadriculado 17x24,REFIL,Ativo,1225
7899866809055,9055,Refil Caderno Criativo Argolado 40FLS Offset 90g Sem Pauta 17x24,REFIL,Ativo,830
7899866818507,8507,Refil Caderno Criativo Argolado 40FLS Offset Cinza 90g Linhas Brancas 17x24,REFIL,Ativo,915
7899866809062,9062,Refil Caderno Criativo Argolado 40FLS Pólen 80g Pautado 17x24,REFIL,Ativo,16150
7899866825093,5093,Refil Caderno Criativo Argolado 40Fls Pólen 80G Pautado A6,REFIL,Ativo,2020
7899866809079,9079,Refil Caderno Criativo Argolado 40FLS Pólen 80g Pontado 17x24,REFIL,Ativo,3240
7899866825109,5109,Refil Caderno Criativo Argolado 40Fls Pólen 80G Pontado A6,REFIL,Ativo,1130
7899866809086,9086,Refil Caderno Criativo Argolado 40FLS Pólen 80g Quadriculado 17x24,REFIL,Ativo,2290
7899866809093,9093,Refil Caderno Criativo Argolado 40FLS Pólen 80g Sem Pauta 17x24,REFIL,Ativo,1880
7899866809116,9116,Refil Caderno Criativo Argolado 101 FLS Pólen 80g Planner Semanal 17x24,REFIL,Ativo,1315
7899866827530,7530,Refil Caderno Criativo Argolado 88 Fls Pólen 80G Agenda Planner 2025 Semanal 17X24,REFIL,Lançamento,1430
7899866827547,7547,Refil Caderno Criativo Argolado 88 Fls Pólen 80G Agenda Planner 2025 Semanal Journal A5 C/ 12 Divisórias,REFIL,Lançamento,1440
7899866825024,5024,Refil Caderno Criativo Argolado 101 Fls Pólen 80G Planner Permanente Semanal Notas A5 C/ Divisórias,REFIL,Ativo,2050
7899866818590,8590,Refil Caderno Criativo Argolado Office 40FLS Pólen 80g Pautado A5,REFIL,Ativo,9345
7899866818606,8606,Refil Caderno Criativo Argolado Office 40FLS Pólen 80g Pontado A5,REFIL,Ativo,3600
7899866818613,8613,Refil Caderno Criativo Argolado Office 40FLS Pólen 80g Quadriculado A5,REFIL,Ativo,2165
7899866818583,8583,Refil Caderno Criativo Argolado Office 40FLS Pólen 80g Sem Pauta A5,REFIL,Ativo,2000
7899866825079,5079,Refil Caderno Organizador 40 Fls Offset 90g Pautado 17x24,REFIL,Ativo,4810
7899866825048,5048,Refil Caderno Organizador 40 Fls Offset 90g Pautado A5,REFIL,Ativo,3315
7899866825086,5086,Refil Caderno Organizador 40 Fls Offset 90g Pontado 17x24,REFIL,Ativo,1915
7899866825055,5055,Refil Caderno Organizador 40 Fls Offset 90g Pontado A5,REFIL,Ativo,1580
7899866825062,5062,Refil Caderno Organizador 40 Fls Pólen 90g Pautado 17x24,REFIL,Ativo,3115
7899866825031,5031,Refil Caderno Organizador 40 Fls Pólen 90g Pautado A5,REFIL,Ativo,2305
7899866821507,1507,Refil Divisórias c/ Folha de Adesivos Caderno Criativo Argolado 17x24 Colorida,REFIL,Ativo,895
7899866821514,1514,Refil Divisórias c/ Folha de Adesivos Caderno Criativo Argolado 17x24 P&B,REFIL,Ativo,610
7899866827554,7554,Caderno Espiral Astral Pautado 17x24 Maré Azul 160 fls,ASTRAL,Lançamento,1410
7899866827561,7561,Caderno Espiral Clássica Pautado 17x24 Preta 160 fls,CLASSICA,Lançamento,1440
7899866827578,7578,Caderno Espiral Melissa Pautado 17x24 Caminho das Abelhas 160 fls,MELISSA,Lançamento,2039
7899866827585,7585,Caderno Espiral Melissa Pautado 17x24 Casinha das Abelhas 160 fls,MELISSA,Lançamento,1839
7899866827592,7592,Caderno Espiral Pólen Pautado 17x24 Aromas Azul 160 fls,POLEN,Lançamento,1400
7899866827615,7615,Caderno Espiral Astral Pautado 20x28 Maré Off White 80 fls,ASTRAL,Lançamento,1310
7899866827622,7622,Caderno Espiral Clássica Pautado 20x28 Preta 80 fls,CLASSICA,Lançamento,1240
7899866827639,7639,Caderno Espiral Kemily Pautado 20x28 Organize Caramelo 80 fls,KEMILY,Lançamento,650
7899866827646,7646,Caderno Espiral Melissa Pautado 20x28 Casa das Abelhas Rosê 80 fls,MELISSA,Lançamento,1889
7899866827653,7653,Caderno Espiral Melissa Pautado 20x28 Favo de Abelhas 80 fls,MELISSA,Lançamento,2189
7899866827660,7660,Caderno Espiral Pólen Pautado 20x28 Aromas Azul 80 fls,POLEN,Lançamento,1190
7899866827677,7677,Caderno Espiral Astral Pautado 20x28 Eclipse Preto 160 fls,ASTRAL,Lançamento,1330
7899866827684,7684,Caderno Espiral Kemily Pautado 20x28 Organize Off White160 fls,KEMILY,Lançamento,610
7899866827691,7691,Caderno Espiral Melissa Pautado 20x28 Colmeia 160 fls,MELISSA,Lançamento,1939
7899866827707,7707,Caderno Espiral Melissa Pautado 20x28 Casa das Abelhas Lilás 160 fls,MELISSA,Lançamento,1739
7899866827714,7714,Caderno Espiral Pólen Pautado 20x28 Aromas Off White 160 fls,POLEN,Lançamento,1240
7899866827721,7721,Caderno Espiral Bossa Nova Pautado 20x28 Pontos Azul 160 fls,BOSSA NOVA,Lançamento,865
7899866827769,7769,Caderno Espiral Kemily Pautado 17x24 Desperte Off White 160 fls,KEMILY,Lançamento,750
7899866827776,7776,Caderneta Ciceros Kemily Pautado 14x21 Desperte Off White,KEMILY,Lançamento,710
7899866827783,7783,Caderneta Ciceros Kemily Miolo Tri 14x21 Organize Verde,KEMILY,Lançamento,620
7899866827813,7813,Livro Álbum Argoladodo Bebê 18x24 Cicero® & Fábula,FABULA,Lançamento,1200
7899866827820,7820,Cartões de Mesversário do Bebê 10x15 Cicero® & Fábula ,FABULA,Lançamento,400
7899866827837,7837,Bloco de Desenho Wire-o Sem Pauta  21x28 Cicero® & Fábula,FABULA,Lançamento,700
